  Lines           Copies        Function name
      630 (0.0%)      2 (0.0%)  core::str::pattern::TwoWaySearcher::next
      626 (0.0%)     52 (0.1%)  smallvec::SmallVecData<A>::inline_mut
      624 (0.0%)     52 (0.1%)  alloc::vec::Vec<T>::from_raw_parts
      624 (0.0%)     52 (0.1%)  smallvec::SmallVec<A>::inline_capacity
      621 (0.0%)    123 (0.3%)  core::cmp::impls::<impl core::cmp::PartialEq<&B> for &A>::eq
      616 (0.0%)     44 (0.1%)  <hashbrown::scopeguard::ScopeGuard<T,F> as core::ops::drop::Drop>::drop
      611 (0.0%)      5 (0.0%)  hashbrown::raw::RawTable<T>::insert
      609 (0.0%)     17 (0.0%)  hashbrown::rustc_entry::RustcVacantEntry<K,V>::insert
      595 (0.0%)     17 (0.0%)  salsa::interned::InternTables<K>::slot_for_key
      594 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::reserve
      590 (0.0%)    118 (0.3%)  <core::ptr::non_null::NonNull<T> as core::convert::From<&mut T>>::from
      578 (0.0%)    200 (0.4%)  <I as core::iter::traits::collect::IntoIterator>::into_iter
      572 (0.0%)     59 (0.1%)  core::mem::take
      570 (0.0%)    190 (0.4%)  core::ptr::const_ptr::<impl *const T>::add
      570 (0.0%)     46 (0.1%)  salsa::blocking_future::State<T>::is_empty
      565 (0.0%)    129 (0.3%)  core::ptr::unique::Unique<T>::as_ref
      565 (0.0%)     47 (0.1%)  smallvec::SmallVecData<A>::inline
      557 (0.0%)    283 (0.6%)  core::cell::UnsafeCell<T>::get
      550 (0.0%)     55 (0.1%)  indexmap::map::IndexMap<K,V,S>::get
      528 (0.0%)     44 (0.1%)  hashbrown::raw::RawTable<T>::new_uninitialized::{{closure}}
      525 (0.0%)     75 (0.2%)  <core::iter::adapters::zip::Zip<A,B> as core::iter::traits::iterator::Iterator>::next
      525 (0.0%)     75 (0.2%)  <core::slice::Iter<T> as core::iter::adapters::zip::TrustedRandomAccess>::get_unchecked
      519 (0.0%)      1 (0.0%)  crossbeam_utils::atomic::atomic_cell::atomic_compare_exchange_weak
      519 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::attempt_match_node
      506 (0.0%)     46 (0.1%)  smallvec::SmallVec<A>::set_len
      506 (0.0%)     22 (0.0%)  hashbrown::raw::RawTable<T>::new
      502 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::output_debug_for_nodes_at_range
      496 (0.0%)      1 (0.0%)  ra_ssr::MatchFinder::find_matches
      493 (0.0%)     21 (0.0%)  <std::collections::hash::map::HashMap<K,V,S> as core::cmp::PartialEq>::eq::{{closure}}
      489 (0.0%)     26 (0.1%)  <hashbrown::map::Iter<K,V> as core::iter::traits::iterator::Iterator>::next::{{closure}}
      480 (0.0%)     60 (0.1%)  core::mem::needs_drop
      480 (0.0%)      4 (0.0%)  <salsa::input::InputStorage<Q> as salsa::plumbing::QueryStorageOps<Q>>::try_fetch
      478 (0.0%)      1 (0.0%)  ra_ssr::parsing::parse_pattern
      476 (0.0%)      1 (0.0%)  <ra_hir_def::expr::Pat as core::cmp::PartialEq>::eq
      470 (0.0%)     52 (0.1%)  smallvec::SmallVecData<A>::heap_mut
      460 (0.0%)     46 (0.1%)  <alloc::sync::Arc<T> as core::default::Default>::default
      460 (0.0%)     46 (0.1%)  <lock_api::mutex::Mutex<R,T> as core::default::Default>::default
      460 (0.0%)     46 (0.1%)  smallvec::SmallVec<A>::len
      460 (0.0%)     46 (0.1%)  smallvec::SmallVec<A>::reserve
      460 (0.0%)     46 (0.1%)  smallvec::layout_array::{{closure}}
      459 (0.0%)     51 (0.1%)  salsa::lru::LruData<Node>::pick_index
      452 (0.0%)      1 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrRule>::from_str
      441 (0.0%)    247 (0.5%)  <core::mem::manually_drop::ManuallyDrop<T> as core::ops::deref::Deref>::deref
      440 (0.0%)    110 (0.2%)  indexmap::map::IndexMap<K,V,S>::double_capacity
      440 (0.0%)     55 (0.1%)  indexmap::map::OrderMapCore<K,V>::raw_capacity
      440 (0.0%)     44 (0.1%)  hashbrown::scopeguard::guard
      438 (0.0%)      1 (0.0%)  ra_ssr::parsing::<impl core::str::FromStr for ra_ssr::SsrPattern>::from_str
      432 (0.0%)      4 (0.0%)  <alloc::vec::Vec<T> as alloc::vec::SpecExtend<T,I>>::spec_extend
      432 (0.0%)      1 (0.0%)  ra_ssr::matching::Matcher::try_match
      430 (0.0%)    130 (0.3%)  <T as core::convert::Into<U>>::into
